published_at,video_id,duration_sec,speaker,title_ko
2026-07-06,WVh7fRrLdqs,1308,김덕진,"클라우드 진출하는 메타의 진짜 속사정"
2026-06-29,7_23a6wSyws,1184,김덕진,"95점짜리 중국 AI, 비용은 6분의 1입니다"
2026-06-22,6p6CRVhdaRo,1201,김덕진,"기업들이 AI 비용을 단속하기 시작했습니다"
2026-06-15,XjjrDDt0FyQ,1185,김덕진,"아마존은 왜, 클로드의 뒤통수를 쳤나"
2026-06-08,tYro7k3JBmQ,1267,김덕진,"젠슨황의 방한에 담긴 피지컬 AI 독식 플랜"
2026-06-01,ZMGTZAilZmQ,1182,김덕진,"이번주 젠슨황의 입에 AI의 미래가 달렸습니다"
2026-05-25,966q19887es,1201,김덕진,"구글이 모든 서비스를 집어삼키고 있습니다"
2026-05-18,WqAog_dM6jY,1223,김아람,"개발자들이 클로드를 떠나고 있는 이유"
2026-05-11,1qVWgwizwfA,1142,김덕진,"마이크로소프트피셜, AI 시대에 살아남는 법"
2026-05-04,_lMm1HKYOnY,1265,김덕진,"오픈AI 또 위기설, 1위가 위태롭습니다"
2026-04-27,PVr9G2dAYls,1403,김덕진,"챗GPT 5.5 출시, AI판이 또 흔들립니다"
2026-04-20,EQJ_Zq_YV6s,1352,김덕진,"구글의 '로봇 뇌'가 퀀텀점프했습니다"
2026-04-13,ARBkJ79gbG8,1259,김덕진,"구글이 모바일 AI, 싹쓸이에 나섰습니다"
2026-04-06,gXv3nPXn4B4,1317,김덕진,"AI의 감정 신호가 포착됐습니다"
2026-03-30,R4riEIHmbFk,1316,김덕진,"소라 폐기한 오픈AI, 자금이 떨어졌나?"
2026-03-23,hyTyvr9tBdc,1275,김덕진,"마이크로소프트 끝났다? 머스크가 직격한 이유"
2026-03-16,HfmEdYd3T58,1293,김덕진,"중국의 AI 확산, 속도가 미쳤습니다"
2026-03-09,_TsBrgLGYN0,1345,김덕진,"스마트폰의 시대가 흔들리고 있습니다"
2026-03-02,_xYBQa2SU5A,1303,김덕진,"앤스로픽은 뭘 믿고 미국 정부와 한판 붙나"
2026-02-23,isXh-4axOso,1302,김덕진,"세상이 위험에 처했다 — 앤스로픽 연구원이 남긴 마지막 메시지"
2026-02-15,hzKNMCc1CsE,1325,김덕진,"AI 기업들의 총알이 떨어지고 있습니다"
2026-02-09,TNDllQfU8yQ,1275,김덕진,"클로드의 압도적 성능 비결이 밝혀졌습니다"
2026-02-02,O5GdSXaaxwM,1274,김덕진,"AI놈들이 인간을 따돌리기 시작했습니다"
2026-01-26,Ca0DorKNZGs,1283,김덕진,"AI로 인한 일자리 감축 내년부터 본격화됩니다"
2026-01-19,B8hpYECt1hY,1233,김덕진,"현대차의 휴머노이드 양산이 가능할까요?"
2026-01-12,JHI1-Ww22mU,1298,김아람,"중국의 AI 천재들이 큰 갈림길에 섰습니다"
2025-12-29,nZxpLhN3zdk,1274,김덕진,"엔비디아의 30조 베팅 구글은 야단났습니다"
2025-12-22,C01VkFifysU,1373,김덕진,"엔비디아 독점 구도 또 다른 위협이 등장했다"
2025-12-15,m15sTGftSTY,1312,김덕진,"오픈AI가 반구글 연합을 꾸렸습니다"
2025-12-08,Z6r_H2hXFZc,1291,김덕진,"미국 스타트업들은 요즘 중국AI 홀릭입니다"
2025-12-01,r8V-FuDuT98,1270,김덕진,"제미나이의 미친 성능 반도체가 더 필요합니다"
2025-11-24,Lqwae5zKwrA,1226,김덕진,"챗GPT가 먹통이 된 이유"
2025-11-17,WZsgOjrIaAE,1195,김덕진,"챗GPT가 카톡을 위협하고 있습니다"
2025-11-10,OsE-jHRaMyA,1165,김덕진,"챗GPT 버린 애플 왜 제미나이를 택했나"
2025-10-27,hrQ1SnrKIyg,1238,김덕진,"AI 전쟁의 승부처는 결국 메모리입니다"
2025-10-20,foXmmRnxFIg,1232,김덕진,"챗GPT가 성인물 만든다? 정말 심각한 수준입니다"
2025-10-13,lv_ghGFnjWY,1227,김덕진,"SNS부터 쇼핑까지 챗GPT가 폭주 중입니다"
2025-09-29,gsPcsEnq2ew,1153,김덕진,"카톡 업데이트 대참사? 의도는 이랬습니다"
2025-09-22,3mUdm_fYSfM,1192,김덕진,"구글도 AI모드 도입, '제로클릭' 시대가 열렸습니다"
2025-09-15,YC6mNGtDFWE,1188,김덕진,"오픈AI는 왜 오라클을 선택했나"
2025-09-08,rjYTxgVKHV0,1171,김덕진,"궁극의 제조 AI, 아직 한참 남은 이유"
2025-09-01,6uhuNMgCmqU,1211,김덕진,"이미지 '참조'하는 인공지능, 디자인 업계에 혁명을 몰고올 겁니다"
2025-08-25,G9s3uugLcBc,1180,김아람,"휴머노이드 시장의 치킨 게임이 시작됐습니다"
2025-08-18,92GvonCGUS0,1197,김덕진,"크롬을 삼키는 회사가 AI 시장의 승기를 잡을 겁니다"
2025-08-11,UlqDIui5zM8,1177,김덕진,"혁신 없다는 GPT5, 잘 쓰는 법 따로 있습니다"
2025-08-04,YTfathQEoXc,1143,김덕진,"GPT-5 출시 준비하는 오픈AI, 왕의 귀환이 임박했습니다"
2025-07-28,FPLpJoFYuow,1227,김덕진,"메타가 AI 인재를 싹쓸이하고 있습니다"
2025-07-21,JjmRgfURH1Y,1174,김덕진,"오픈AI의 새 에이전트, 신박한데 많이 느립니다"
2025-07-14,7pNF_zKKld0,1209,김덕진,"오픈AI가 휘청거리고 있습니다"
